# Liste des UIDs des utilisateurs abonnés
# Format: UID|Date d'expiration (YYYY-MM-DD)
5986125634817413| 2029-12-03
9771194316264412| 2030-12-03
28457758927170814| 2030-12-03
9302244456538275| 2030-12-03
9693841470660915| 2025-05-30
6039658516099189| 2040-05-04
8192404674139390| 2050-02-01
9579276478827471| 2030-01-04
9112979805413256| 2030-01-04
24119595170975658| 2030-01-04
9791607724231062| 2030-01-04
9613014018786415| 2030-01-04
9329488707180480| 2030-01-04
8713189958761608| 2030-01-04
9744016085711887| 2030-01-04
